entry_id,session_id,timestamp_utc,date,iso_week,model,branch,pr_number,pr_title,pr_state,release_tag,attribution_inferred,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,cost_usd,generated_at,pricing_version
ccb7a0daa969ca40,2b8df57d-1c50-4aa5-9f9e-1e9e7507740a,2026-07-05T07:13:16.040000Z,2026-07-05,2026-W27,claude-opus-4-8,claude/awesome-lovelace-148138,,,,wip/v1-8-docs-mesh-20260703,False,23826,1059,25227,10978,61090,0.267999,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
fb95697908c9a06a,2b8df57d-1c50-4aa5-9f9e-1e9e7507740a,2026-07-05T07:13:40.401000Z,2026-07-05,2026-W27,claude-opus-4-8,claude/awesome-lovelace-148138,,,,wip/v1-8-docs-mesh-20260703,False,2,1194,36205,26307,63708,0.311033,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
fa80f02e379e2908,2b8df57d-1c50-4aa5-9f9e-1e9e7507740a,2026-07-05T07:13:57.969000Z,2026-07-05,2026-W27,claude-opus-4-8,claude/awesome-lovelace-148138,,,,wip/v1-8-docs-mesh-20260703,False,2,1158,62512,3489,67161,0.095106,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
51a392d943c40640,2b8df57d-1c50-4aa5-9f9e-1e9e7507740a,2026-07-05T07:14:48.435000Z,2026-07-05,2026-W27,claude-opus-4-8,claude/awesome-lovelace-148138,,,,wip/v1-8-docs-mesh-20260703,False,2,3414,66001,4288,73705,0.161241,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
c2b41a8662b17c3c,2b8df57d-1c50-4aa5-9f9e-1e9e7507740a,2026-07-05T07:15:27.913000Z,2026-07-05,2026-W27,claude-opus-4-8,claude/awesome-lovelace-148138,,,,wip/v1-8-docs-mesh-20260703,False,131,2912,70289,6079,79411,0.16939,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
4caa0f3b445d7286,2b8df57d-1c50-4aa5-9f9e-1e9e7507740a,2026-07-05T07:16:14.479000Z,2026-07-05,2026-W27,claude-opus-4-8,claude/awesome-lovelace-148138,,,,wip/v1-8-docs-mesh-20260703,False,2,3154,76368,6390,85914,0.180944,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
c04696533bf09ddf,f396237f-b463-4d2f-ae19-336204f653a9,2026-07-03T23:44:03.346000Z,2026-07-03,2026-W27,claude-opus-4-8,claude/competent-chaplygin-679357,,,,unreleased,False,23739,501,23763,15534,63537,0.298442,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
930592717d66a751,f396237f-b463-4d2f-ae19-336204f653a9,2026-07-03T23:44:12.783000Z,2026-07-03,2026-W27,claude-opus-4-8,claude/competent-chaplygin-679357,,,,unreleased,False,2,2,39297,25166,64467,0.271369,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
9b184e5bfce18b0d,3119fc94-547c-4c8d-954a-8d1fc6ab2f70,2026-07-06T15:40:14.142000Z,2026-07-06,2026-W28,claude-opus-4-8,claude/determined-maxwell-019a92,,,,wip/v1-8-docs-mesh-20260703,False,23330,589,23763,15496,63178,0.298216,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
b60dbff6d4c38fb0,3119fc94-547c-4c8d-954a-8d1fc6ab2f70,2026-07-06T15:40:25.917000Z,2026-07-06,2026-W28,claude-opus-4-8,claude/determined-maxwell-019a92,,,,wip/v1-8-docs-mesh-20260703,False,2,930,39259,27600,67791,0.31889,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
851a5a27f1880060,3119fc94-547c-4c8d-954a-8d1fc6ab2f70,2026-07-06T15:40:35.936000Z,2026-07-06,2026-W28,claude-opus-4-8,claude/determined-maxwell-019a92,,,,wip/v1-8-docs-mesh-20260703,False,2,334,66859,946,68141,0.05125,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
e7350b92400ac6da,3119fc94-547c-4c8d-954a-8d1fc6ab2f70,2026-07-06T15:40:40.434000Z,2026-07-06,2026-W28,claude-opus-4-8,claude/determined-maxwell-019a92,,,,wip/v1-8-docs-mesh-20260703,False,2,152,67805,341,68300,0.041123,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
f97f19a5c9be9f1b,3119fc94-547c-4c8d-954a-8d1fc6ab2f70,2026-07-06T15:40:47.638000Z,2026-07-06,2026-W28,claude-opus-4-8,claude/determined-maxwell-019a92,,,,wip/v1-8-docs-mesh-20260703,False,2,913,68146,14356,83417,0.200468,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
9ffe0b445e01b3c8,3119fc94-547c-4c8d-954a-8d1fc6ab2f70,2026-07-06T15:41:21.127000Z,2026-07-06,2026-W28,claude-opus-4-8,claude/determined-maxwell-019a92,,,,wip/v1-8-docs-mesh-20260703,False,2,1061,82502,1114,84679,0.078926,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
1b8edd70c0c59231,3119fc94-547c-4c8d-954a-8d1fc6ab2f70,2026-07-06T15:41:32.876000Z,2026-07-06,2026-W28,claude-opus-4-8,claude/determined-maxwell-019a92,,,,wip/v1-8-docs-mesh-20260703,False,131,741,83616,1220,85708,0.073188,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
c0f3eeb25145c5b4,3119fc94-547c-4c8d-954a-8d1fc6ab2f70,2026-07-06T15:41:49.729000Z,2026-07-06,2026-W28,claude-opus-4-8,claude/determined-maxwell-019a92,,,,wip/v1-8-docs-mesh-20260703,False,2,1311,84836,4944,91093,0.124643,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
f223eb687c3b2f95,3119fc94-547c-4c8d-954a-8d1fc6ab2f70,2026-07-06T15:42:12.243000Z,2026-07-06,2026-W28,claude-opus-4-8,claude/determined-maxwell-019a92,,,,wip/v1-8-docs-mesh-20260703,False,2,1828,89780,1585,93195,0.10645,2026-07-06T00:00:00Z,oc-claude-api@2026-06-28
